ticker,displayName,securityType,isCore,yahooSymbol,localEvents,reachable,epsQuarters,revQuarters,hasTtmRevenue,hasTtmEbitda,priceBars,priceReachable,state,reasons
JRPT IJ,"PT Jaya Real Property, Tbk.",operating,false,JRPT.JK,0,true,0,0,true,true,22,true,PARTIAL,no-past-quarters
PWON IJ,"PT Pakuwon Jati Tbk",operating,false,PWON.JK,4,true,4,3,true,true,22,true,OK,
BSDE IJ,"PT Bumi Serpong Damai Tbk",operating,false,BSDE.JK,3,true,3,3,true,true,22,true,OK,
BKSL IJ,"PT Sentul City Tbk",operating,false,BKSL.JK,0,true,0,0,true,true,22,true,PARTIAL,no-past-quarters
CTRA IJ,"PT Ciputra Development Tbk",operating,false,CTRA.JK,4,true,4,3,true,true,22,true,OK,
NRP SJ,"NEPI Rockcastle",operating,false,NRP.JO,0,true,0,0,true,true,20,true,PARTIAL,no-past-quarters
KPIG IJ,"PT MNC Tourism Indonesia Tbk",operating,false,KPIG.JK,0,true,0,0,true,true,22,true,PARTIAL,no-past-quarters
DUTI IJ,"PT Duta Pertiwi Tbk",operating,false,DUTI.JK,0,true,0,0,true,true,22,true,PARTIAL,no-past-quarters
INPP IJ,"PT Indonesian Paradise Property Tbk",operating,false,INPP.JK,0,true,0,0,true,true,22,true,PARTIAL,no-past-quarters
DMAS IJ,"PT Puradelta Lestari Tbk",operating,false,DMAS.JK,0,true,0,0,true,true,22,true,PARTIAL,no-past-quarters
SHC SJ,"Shaftesbury Capital",operating,false,SHC.JO,0,true,0,0,true,true,20,true,PARTIAL,no-past-quarters
GRT SJ,"Growthpoint Properties",operating,false,GRT.JO,0,true,0,0,true,true,20,true,PARTIAL,no-past-quarters
PHP SJ,"Primary Health Prop",operating,false,PHP.JO,0,true,0,0,true,true,20,true,PARTIAL,no-past-quarters
AZRG IT,"Azrieli Group",operating,false,AZRG.TA,4,true,4,4,true,true,19,true,OK,
SMRA IJ,"PT Summarecon Agung Tbk",operating,false,SMRA.JK,0,true,0,4,true,true,22,true,PARTIAL,no-past-quarters
8802 JP,"Mitsubishi Estate Co.",operating,false,8802.T,4,true,4,0,true,true,21,true,OK,
RDF SJ,"Redefine Properties",operating,false,RDF.JO,0,true,0,0,true,true,20,true,PARTIAL,no-past-quarters
HMN SJ,"Hammerson",operating,false,HMN.JO,0,true,0,0,true,true,20,true,PARTIAL,no-past-quarters
8801 JP,"Mitsui Fudosan Co.",operating,false,8801.T,4,true,4,0,true,true,21,true,OK,
